Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
1,-86.5555,Tx-D-R-Rx,4,"5.5 -2.23 0.6, 5.14534 -1.96069 0.117891, 5.09932 -2.03 0.0997569, 1.8 -7 1.4"
1,-73.8037,Tx-D-Rx,3,"5.5 -2.23 0.6, 2.40631 -1.96069 0.731224, -1.2 -7.2 1"
1,-75.0309,Tx-D-Rx,3,"5.5 -2.23 0.6, 2.39745 -1.96475 0.731581, -1.2 -7.2 1"
1,-83.9636,Tx-R-D-Rx,4,"5.5 -2.23 0.6, 5.65853 -2.21748 0.606503, 2.40631 -1.96069 0.739906, -1.2 -7.2 1"
1,-85.1267,Tx-D-Rx,3,"5.5 -2.23 0.6, 0.515335 -3.81851 0.890706, -1.2 -7.2 1"
1,-85.2151,Tx-R-D-Rx,4,"5.5 -2.23 0.6, 5.65853 -2.2177 0.606502, 2.39745 -1.96475 0.740252, -1.2 -7.2 1"
1,-86.6979,Tx-D-Rx,3,"5.5 -2.23 0.6, 2.33182 -1.9668 0.733961, -1.2 -7.2 1"
1,-88.0255,Tx-R-R-Rx,4,"5.5 -2.23 0.6, -2.96621 -4.93889 3.02001, -5.61647 -5.78688 2.26245, -1.2 -7.2 1"
1,-88.224,Tx-D-Rx,3,"5.5 -2.23 0.6, 0.526996 -3.80927 0.894568, -1.2 -7.2 1"
1,-90.171,Tx-D-Rx,3,"5.5 -2.23 0.6, 2.32663 -1.96885 0.734166, -1.2 -7.2 1"
1,-91.5126,Tx-D-R-Rx,4,"5.5 -2.23 0.6, 2.30186 -3.9476 0.474688, 5.48989 -4.9973 0.644229, -1.2 -7.2 1"
1,-91.7793,Tx-R-D-Rx,4,"5.5 -2.23 0.6, 2.35616 -1.96475 0.732942, 2.33182 -1.9668 0.733971, -1.2 -7.2 1"
1,-92.1872,Tx-R-R-R-Rx,5,"5.5 -2.23 0.6, -5.61647 -4.11885 2.28744, -0.790444 -4.93886 3.02001, 5.65853 -6.03464 2.04109, -1.2 -7.2 1"
1,-92.3762,Tx-D-Rx,3,"5.5 -2.23 0.6, 1.54702 -1.9668 0.760522, -1.2 -7.2 1"
1,-92.4462,Tx-R-R-R-R-Rx,6,"5.5 -2.23 0.6, 4.00216 -1.94646 0.827366, -5.61647 -3.76728 2.28744, -0.790444 -4.68086 3.02001, 5.65853 -5.90167 2.04109, -1.2 -7.2 1"
1,-93.6843,Tx-R-D-Rx,4,"5.5 -2.23 0.6, 5.65853 -2.27732 0.608967, 0.527944 -3.80869 0.899159, -1.2 -7.2 1"
1,-94.0661,Tx-R-R-R-R-Rx,6,"5.5 -2.23 0.6, -4.18544 -4.93889 3.02001, -5.61647 -5.33913 2.66245, -3.55089 -5.91684 2.14634, -4.66937 -6.22966 1.86687, -1.2 -7.2 1"
1,-94.3333,Tx-R-R-D-R-Rx,6,"5.5 -2.23 0.6, 2.82897 -7.40635 2.02489, 0.963556 -3.79126 3.02001, 0.0210647 -1.96475 2.51723, -1.94533 -5.76107 1.41702, -1.2 -7.2 1"
1,-94.7931,Tx-R-R-R-D-R-Rx,7,"5.5 -2.23 0.6, 5.65853 -2.52578 0.681418, 3.04263 -7.40635 2.02489, 1.10501 -3.79125 3.02001, 0.126036 -1.96475 2.51723, -1.94533 -5.81469 1.40148, -1.2 -7.2 1"
1,-94.9814,Tx-R-R-R-D-Rx,6,"5.5 -2.23 0.6, 5.65853 -2.58861 0.698714, 3.52875 -7.40635 2.02489, 1.93061 -3.79123 3.02001, 1.12317 -1.96475 2.51724, -1.2 -7.2 1"
1,-95.0978,Tx-R-R-R-R-R-R-Rx,8,"5.5 -2.23 0.6, 3.37823 -7.40635 1.66268, 1.14024 -1.94646 2.78355, 0.668116 -3.09828 3.02001, -1.94533 -9.47416 1.71109, -1.70155 -10.0689 1.589, -0.862887 -8.02255 1.16887, -1.2 -7.2 1"
1,-95.2456,Tx-R-D-Rx,4,"5.5 -2.23 0.6, 1.98155 -1.99573 0.0997569, 1.54702 -1.9668 0.161536, -1.2 -7.2 1"
1,-95.6731,Tx-R-D-Rx,4,"5.5 -2.23 0.6, 5.65853 -2.21803 0.606483, 2.33182 -1.9668 0.742534, -1.2 -7.2 1"
1,-95.6759,Tx-R-R-R-Rx,5,"5.5 -2.23 0.6, 5.65853 -2.27971 0.644408, -2.82193 -4.93888 3.02001, -5.61647 -5.81515 2.23719, -1.2 -7.2 1"
1,-96.101,Tx-D-R-Rx,4,"5.5 -2.23 0.6, 2.29934 -4.88996 0.451408, 5.65853 -5.64941 0.631763, -1.2 -7.2 1"
1,-96.1271,Tx-D-R-Rx,4,"5.5 -2.23 0.6, 2.30615 -3.9838 0.449927, 5.48989 -5.02087 0.627298, -1.2 -7.2 1"
1,-96.3009,Tx-D-R-R-Rx,5,"5.5 -2.23 0.6, 3.71966 -5.34367 0.131867, 3.55023 -5.04574 0.0997569, 1.78767 -1.94646 0.433787, -1.2 -7.2 1"
1,-96.4722,Tx-R-D-Rx,4,"5.5 -2.23 0.6, 4.84288 -1.94646 0.640865, 0.52999 -3.80745 0.909074, -1.2 -7.2 1"
1,-96.6774,Tx-R-D-Rx,4,"5.5 -2.23 0.6, 4.84432 -1.94646 0.639106, 0.516096 -3.81816 0.897245, -1.2 -7.2 1"
1,-96.7181,Tx-D-R-R-Rx,5,"5.5 -2.23 0.6, 3.71904 -5.34367 0.123928, 3.59042 -5.11747 0.0997569, 1.78729 -1.94646 0.438608, -1.2 -7.2 1"
1,-96.9787,Tx-D-R-Rx,4,"5.5 -2.23 0.6, 2.29596 -3.89171 0.495948, 5.48989 -4.96079 0.658832, -1.2 -7.2 1"
1,-97.8871,Tx-D-Rx,3,"5.5 -2.23 0.6, 5.48989 -4.29233 0.688165, -1.2 -7.2 1"
1,-97.9636,Tx-R-R-R-R-Rx,6,"5.5 -2.23 0.6, 2.83176 -7.40635 2.04642, 1.03574 -3.92208 3.02001, 0.0173677 -1.94646 2.46797, -1.94533 -5.75407 1.40403, -1.2 -7.2 1"
1,-98.2433,Tx-R-R-D-Rx,5,"5.5 -2.23 0.6, 3.31508 -7.40635 2.02489, 1.78916 -3.79124 3.02001, 1.0182 -1.96475 2.51724, -1.2 -7.2 1"
1,-98.632,Tx-D-R-Rx,4,"5.5 -2.23 0.6, 2.29652 -3.89777 0.495567, 5.34607 -4.9521 0.858019, -1.2 -7.2 1"
1,-98.672,Tx-D-Rx,3,"5.5 -2.23 0.6, 1.54176 -1.96885 0.760715, -1.2 -7.2 1"
1,-98.7698,Tx-D-R-Rx,4,"5.5 -2.23 0.6, -0.189701 -4.42369 0.737441, -5.04071 -5.9732 0.88398, -1.2 -7.2 1"
1,-98.7984,Tx-R-R-R-R-R-Rx,7,"5.5 -2.23 0.6, 5.65853 -2.52609 0.682735, 3.04554 -7.40635 2.04642, 1.17999 -3.92208 3.02001, 0.122196 -1.94646 2.46797, -1.94533 -5.80796 1.38897, -1.2 -7.2 1"
1,-99.1679,Tx-R-R-D-R-Rx,6,"5.5 -2.23 0.6, 5.65853 -2.87924 1.82759, 5.50454 -3.50987 3.02001, 5.34762 -4.15251 1.8049, -0.809542 -7.40635 1.048, -1.2 -7.2 1"
1,-99.1934,Tx-R-R-D-R-Rx,6,"5.5 -2.23 0.6, 5.65853 -2.87751 1.82426, 5.50369 -3.50993 3.02001, 5.34616 -4.15337 1.80343, -0.809533 -7.40635 1.04792, -1.2 -7.2 1"
1,-99.325,Tx-R-D-Rx,4,"5.5 -2.23 0.6, 5.65853 -2.21814 0.606483, 2.32663 -1.96885 0.742733, -1.2 -7.2 1"
1,-99.6046,Tx-R-D-Rx,4,"5.5 -2.23 0.6, 5.65853 -3.22931 0.643135, 5.48989 -4.29233 0.689021, -1.2 -7.2 1"
